iteration,residual
1,0.175291
2,0.304173
3,0.546966
4,0.858212
5,0.686671
6,0.86803
7,2.48786
8,4.4759
9,7.2458
10,7.89995
11,13.4166
12,21.9686
13,32.1856
14,51.3889
15,77.1927
16,118.745
17,184.527
18,278.505
19,442.172
20,659.209
21,1063.11
22,1571.48
23,2564.3
24,3768.15
25,6204.32
26,9079.17
27,15054.4
28,21965.3
29,36625.7
30,53325.6
31,89323.6
32,129842
33,218329
34,316935
35,534715
36,775224
37,1.31189e+06
38,1.89942e+06
39,3.22351e+06
40,4.66016e+06
41,7.93077e+06
42,1.14455e+07
43,1.95322e+07
44,2.81314e+07
45,4.81431e+07
46,6.91768e+07
47,1.18731e+08
48,1.70152e+08
49,2.92919e+08
50,4.18527e+08
51,7.22763e+08
52,1.02928e+09
53,1.78329e+09
54,2.53042e+09
55,4.39894e+09
56,6.21766e+09
57,1.08468e+10
58,1.52679e+10
59,2.67307e+10
60,3.74623e+10
61,6.58291e+10
62,9.18397e+10
63,1.61982e+11
64,2.24933e+11
65,3.9821e+11
66,5.50346e+11
67,9.77937e+11
68,1.34513e+12
69,2.39902e+12
70,3.28417e+12
71,5.8784e+12
72,8.00989e+12
73,1.43871e+13
74,1.95152e+13
75,3.51698e+13
76,4.74984e+13
77,8.58729e+13
78,1.15496e+14
79,2.09431e+14
80,2.80581e+14
81,5.10205e+14
82,6.81056e+14
83,1.24162e+15
84,1.65184e+15
85,3.01858e+15
86,4.00351e+15
87,7.33186e+15
88,9.69691e+15
89,1.77933e+16
90,2.34731e+16
91,4.31477e+16
92,5.67907e+16
93,1.04557e+17
94,1.37334e+17
95,2.53202e+17
96,3.31967e+17
97,6.12819e+17
98,8.02131e+17
99,1.48242e+18
100,1.93752e+18
101,3.58433e+18
102,4.67859e+18
103,8.66289e+18
104,1.12944e+19
105,2.09294e+19
106,2.72585e+19
107,5.05479e+19
108,6.57721e+19
109,1.22045e+20
110,1.58669e+20
111,2.94588e+20
112,3.82701e+20
113,7.10895e+20
114,9.22895e+20
115,1.71513e+21
116,2.22523e+21
117,4.13714e+21
118,5.36453e+21
119,9.97751e+21
120,1.29309e+22
121,2.40585e+22
122,3.11651e+22
123,5.80022e+22
124,7.51027e+22
125,1.39816e+23
126,1.80964e+23
127,3.36983e+23
128,4.35996e+23
129,8.12088e+23
130,1.05033e+24
131,1.95679e+24
132,2.53005e+24
133,4.71451e+24
134,6.09383e+24
135,1.13574e+25
136,1.46762e+25
137,2.73577e+25
138,3.53426e+25
139,6.58927e+25
140,8.51038e+25
141,1.58692e+26
142,2.04911e+26
143,3.82148e+26
144,4.93345e+26
145,9.20182e+26
146,1.1877e+27
147,2.21555e+27
148,2.8591e+27
149,5.33403e+27
150,6.88219e+27
151,1.2841e+28
152,1.65652e+28
153,3.09108e+28
154,3.98697e+28
155,7.44039e+28
156,9.59542e+28
157,1.79083e+29
158,2.3092e+29
159,4.31009e+29
160,5.55699e+29
161,1.03728e+30
162,1.3372e+30
163,2.49621e+30
164,3.21761e+30
165,6.00682e+30
166,7.74198e+30
167,1.4454e+31
168,1.86275e+31
169,3.47788e+31
170,4.48167e+31
171,8.36802e+31
172,1.07823e+32
173,2.01332e+32
174,2.59399e+32
175,4.84384e+32
176,6.24039e+32
177,1.16534e+33
178,1.50122e+33
179,2.80349e+33
180,3.61131e+33
181,6.74427e+33
182,8.6871e+33
183,1.6224e+34
184,2.08966e+34
185,3.90277e+34
186,5.02652e+34
187,9.3881e+34
188,1.20907e+35
189,2.25826e+35
190,2.90824e+35
191,5.43203e+35
192,6.99521e+35
193,1.3066e+36
194,1.68254e+36
195,3.14281e+36
196,4.04694e+36
197,7.55942e+36
198,9.73381e+36
199,1.81825e+37
200,2.34118e+37
201,4.37335e+37
202,5.63099e+37
203,1.05189e+38
204,1.35435e+38
205,2.53004e+38
206,3.25745e+38
207,6.08528e+38
208,7.83469e+38
209,1.46363e+39
210,1.88437e+39
211,3.52033e+39
212,4.53219e+39
213,8.46707e+39
214,1.09006e+40
215,2.0365e+40
216,2.62178e+40
217,4.89819e+40
218,6.30581e+40
219,1.17812e+41
220,1.51666e+41
221,2.83363e+41
222,3.64785e+41
223,6.81552e+41
224,8.77381e+41
225,1.6393e+42
226,2.11029e+42
227,3.94294e+42
228,5.07574e+42
229,9.48387e+42
230,1.22085e+43
231,2.28116e+43
232,2.93647e+43
233,5.48692e+43
234,7.06308e+43
235,1.3198e+44
236,1.6989e+44
237,3.17461e+44
238,4.08645e+44
239,7.63622e+44
240,9.82945e+44
241,1.83685e+45
242,2.36438e+45
243,4.41848e+45
244,5.68738e+45
245,1.06287e+46
246,1.36808e+46
247,2.55677e+46
248,3.29093e+46
249,6.15052e+46
250,7.91647e+46
251,1.47958e+47
252,1.90437e+47
253,3.55937e+47
254,4.58118e+47
255,8.56279e+47
256,1.10207e+48
257,2.05999e+48
258,2.65125e+48
259,4.95592e+48
260,6.37821e+48
261,1.19231e+49
262,1.53446e+49
263,2.86858e+49
264,3.69163e+49
265,6.90162e+49
266,8.88155e+49
267,1.66052e+50
268,2.13682e+50
269,3.99528e+50
270,5.14109e+50
271,9.61302e+50
272,1.23695e+51
273,2.31303e+51
274,2.97615e+51
275,5.56563e+51
276,7.16091e+51
277,1.33923e+52
278,1.72302e+52
279,3.22262e+52
280,4.1459e+52
281,7.75481e+52
282,9.97603e+52
283,1.86614e+53
284,2.40052e+53
285,4.49085e+53
286,5.77646e+53
287,1.08074e+54
288,1.39004e+54
289,2.60093e+54
290,3.34504e+54
291,6.25958e+54
292,8.0498e+54
293,1.50651e+55
294,1.93721e+55
295,3.62586e+55
296,4.66207e+55
297,8.72691e+55
298,1.12199e+56
299,2.10049e+56
300,2.70027e+56
301,5.05583e+56
302,6.49884e+56
303,1.21696e+57
304,1.56413e+57
305,2.92934e+57
306,3.76459e+57
307,7.0514e+57
308,9.06091e+57
309,1.69743e+58
310,2.18089e+58
311,4.08619e+58
312,5.24935e+58
313,9.83687e+58
314,1.26353e+59
315,2.36813e+59
316,3.04139e+59
317,5.70119e+59
318,7.32095e+59
319,1.37258e+60
320,1.76226e+60
321,3.30459e+60
322,4.2421e+60
323,7.95624e+60
324,1.02117e+61
325,1.91562e+61
326,2.45824e+61
327,4.61233e+61
328,5.91775e+61
329,1.11056e+62
330,1.42461e+62
331,2.67405e+62
332,3.42957e+62
333,6.43886e+62
334,8.25641e+62
335,1.55045e+63
336,1.98769e+63
337,3.73347e+63
338,4.78532e+63
339,8.99037e+63
340,1.15207e+64
341,2.16496e+64
342,2.77365e+64
343,5.2135e+64
344,6.67771e+64
345,1.2555e+65
346,1.60771e+65
347,3.02349e+65
348,3.87074e+65
349,7.28128e+65
350,9.31926e+65
351,1.75353e+66
352,2.24374e+66
353,4.22302e+66
354,5.40214e+66
355,1.01704e+67
356,1.30065e+67
357,2.44939e+67
358,3.13155e+67
359,5.89902e+67
360,7.53976e+67
361,1.42071e+68
362,1.81534e+68
363,3.42165e+68
364,4.37076e+68
365,8.24074e+68
366,1.05234e+69
367,1.98472e+69
368,2.5337e+69
369,4.78005e+69
370,6.10034e+69
371,1.15124e+70
372,1.46876e+70
373,2.77268e+70
374,3.53628e+70
375,6.6778e+70
376,8.5141e+70
377,1.60829e+71
378,2.04988e+71
379,3.87343e+71
380,4.93532e+71
381,9.32874e+71
382,1.18823e+72
383,2.24671e+72
384,2.86074e+72
385,5.41089e+72
386,6.88736e+72
387,1.30312e+73
388,1.65815e+73
389,3.13832e+73
390,3.99197e+73
391,7.55795e+73
392,9.61051e+73
393,1.82014e+74
394,2.31366e+74
395,4.38328e+74
396,5.56989e+74
397,1.05557e+75
398,1.34087e+75
399,2.54195e+75
400,3.2279e+75
401,6.12125e+75
402,7.77043e+75
403,1.47402e+76
404,1.87052e+76
405,3.54944e+76
406,4.50271e+76
407,8.54685e+76
408,1.08387e+77
409,2.05799e+77
410,2.60897e+77
411,4.9553e+77
412,6.27992e+77
413,1.19313e+78
414,1.51158e+78
415,2.87271e+78
416,3.63829e+78
417,6.91651e+78
418,8.757e+78
419,1.66522e+79
420,2.10768e+79
421,4.00907e+79
422,5.07275e+79
423,9.6517e+79
424,1.22088e+80
425,2.32355e+80
426,2.93828e+80
427,5.59357e+80
428,7.07136e+80
429,1.34652e+81
430,1.70178e+81
431,3.24134e+81
432,4.09537e+81
433,7.80233e+81
434,9.85539e+81
435,1.87807e+82
436,2.37162e+82
437,4.52048e+82
438,5.70696e+82
439,1.08804e+83
440,1.37327e+83
441,2.61875e+83
442,3.30443e+83
443,6.30274e+83
444,7.9511e+83
445,1.51688e+84
446,1.91315e+84
447,3.65058e+84
448,4.60319e+84
449,8.78536e+84
450,1.10754e+85
451,2.11419e+85
452,2.66473e+85
453,5.08763e+85
454,6.41114e+85
455,1.22426e+86
456,1.54244e+86
457,2.94593e+86
458,3.71084e+86
459,7.08854e+86
460,8.92744e+86
461,1.70561e+87
462,2.1477e+87
463,4.10383e+87
464,5.16665e+87
465,9.87388e+87
466,1.2429e+88
467,2.37561e+88
468,2.9899e+88
469,5.71544e+88
470,7.19229e+88
471,1.37504e+89
472,1.73009e+89
473,3.30801e+89
474,4.16163e+89
475,7.95808e+89
476,1.00104e+90
477,1.91443e+90
478,2.40784e+90
479,4.60532e+90
480,5.7916e+90
481,1.10782e+91
482,1.39303e+91
483,2.66483e+91
484,3.35056e+91
485,6.41002e+91
486,8.05871e+91
487,1.54184e+92
488,1.93824e+92
489,3.7086e+92
490,4.66166e+92
491,8.92012e+92
492,1.12116e+93
493,2.14547e+93
