index,value
0,0.00124234
1,0.103277
2,5101.53
3,-0.0209639
4,6.60375
5,2161.1
6,-0.0192808
7,4.50676
8,2265.27
9,-0.0181443
10,4.10361
11,2384.66
12,-0.0180635
13,4.15315
14,2389.61
15,-0.0180791
16,4.17215
17,2385.45
18,-0.0180757
19,4.17168
20,2384.95
21,-0.0180721
22,4.17093
23,2385.07
24,-0.018071
25,4.17089
26,2385.1
27,-0.0180707
28,4.17091
29,2385.1
30,-0.0180706
31,4.17092
32,2385.1
33,-0.0180705
34,4.17092
35,2385.1
36,-0.0180705
37,4.17092
38,2385.1
39,-0.0180705
40,4.17092
41,2385.1
42,-0.0180705
43,4.17092
44,2385.1
45,-0.0180705
46,4.17092
47,2385.1
48,-0.0180705
49,4.17092
50,2385.1
51,-0.0180705
52,4.17092
53,2385.1
54,-0.0180705
55,4.17092
56,2385.1
57,-0.0180705
58,4.17092
59,2385.1
60,-0.0180705
61,4.17092
62,2385.1
63,-0.0180705
64,4.17092
65,2385.1
66,-0.0180705
67,4.17092
68,2385.1
69,-0.0180705
70,4.17092
71,2385.1
72,-0.0180705
73,4.17092
74,2385.1
75,-0.0180705
76,4.17092
77,2385.1
78,-0.0180705
79,4.17092
80,2385.1
81,-0.0180705
82,4.17092
83,2385.1
84,-0.0180705
85,4.17092
86,2385.1
87,-0.0180705
88,4.17092
89,2385.1
90,-0.0180705
91,4.17092
92,2385.1
93,-0.0180705
94,4.17092
95,2385.1
96,-0.0180705
97,4.17092
98,2385.1
99,-0.0180705
100,4.17092
101,2385.1
102,-0.0180705
103,4.17092
104,2385.1
105,-0.0180705
106,4.17092
107,2385.1
108,-0.0180705
109,4.17092
110,2385.1
111,-0.0180705
112,4.17092
113,2385.1
114,-0.0180705
115,4.17092
116,2385.1
117,-0.0180705
118,4.17092
119,2385.1
120,-0.0180705
121,4.17092
122,2385.1
123,-0.0180705
124,4.17092
125,2385.1
126,-0.0180705
127,4.17092
128,2385.1
129,-0.0180705
130,4.17092
131,2385.1
132,-0.0180705
133,4.17092
134,2385.1
135,-0.0180705
136,4.17092
137,2385.1
138,-0.0180705
139,4.17092
140,2385.1
141,-0.0180705
142,4.17092
143,2385.1
144,-0.0180705
145,4.17092
146,2385.1
147,-0.0180705
148,4.17092
149,2385.1
150,-0.0180705
151,4.17092
152,2385.1
153,-0.0180705
154,4.17092
155,2385.1
156,-0.0180705
157,4.17092
158,2385.1
159,-0.0180705
160,4.17092
161,2385.1
162,-0.0180705
163,4.17092
164,2385.1
165,-0.0180705
166,4.17092
167,2385.1
168,-0.0180705
169,4.17092
170,2385.1
171,-0.0180705
172,4.17092
173,2385.1
174,-0.0180705
175,4.17092
176,2385.1
177,-0.0180705
178,4.17092
179,2385.1
180,-0.0180705
181,4.17092
182,2385.1
183,-0.0180705
184,4.17092
185,2385.1
186,-0.0180705
187,4.17092
188,2385.1
189,-0.0180705
190,4.17092
191,2385.1
192,-0.0180705
193,4.17092
194,2385.1
195,-0.0180705
196,4.17092
197,2385.1
198,-0.0180705
199,4.17092
200,2385.1
201,-0.0180705
202,4.17092
203,2385.1
204,-0.0180705
205,4.17092
206,2385.1
207,-0.0180705
208,4.17092
209,2385.1
210,-0.0180705
211,4.17092
212,2385.1
213,-0.0180705
214,4.17092
215,2385.1
216,-0.0180705
217,4.17092
218,2385.1
219,-0.0180705
220,4.17092
221,2385.1
222,-0.0180705
223,4.17092
224,2385.1
225,-0.0180705
226,4.17092
227,2385.1
228,-0.0180705
229,4.17092
230,2385.1
