index,value
0,7.5507e-06
1,1.0067e-05
2,3.02007e-05
3,6.0431e-06
4,3.02289e-05
5,3.36038e-06
6,3.77864e-06
7,2.51834e-06
8,3.02286e-05
9,3.02672e-05
10,3.02572e-05
11,3.02225e-05
12,3.02843e-05
13,3.02998e-05
14,3.02871e-05
15,3.03023e-05
16,3.02636e-05
17,1.12287e-06
18,1.51934e-06
19,3.03623e-05
20,1.26389e-06
21,1.31873e-06
22,1.12191e-06
23,3.03466e-05
24,3.04472e-05
25,3.03707e-05
26,3.02581e-05
27,9.48273e-07
28,1.01504e-06
29,3.03859e-05
30,8.9629e-07
31,9.20068e-07
32,7.21758e-07
33,3.04102e-05
34,3.0492e-05
35,3.03313e-05
36,3.0377e-05
37,3.04873e-05
38,3.05706e-05
39,4.00702e-07
40,3.03461e-05
41,3.02451e-05
42,6.44801e-07
43,3.04086e-05
44,6.59976e-07
45,3.04213e-05
46,3.03629e-05
47,3.03071e-05
48,6.0983e-07
49,3.04599e-05
50,5.63787e-07
51,5.73326e-07
52,3.03243e-05
53,5.51459e-07
54,3.03276e-05
55,5.18754e-07
56,5.24125e-07
57,3.05449e-05
58,3.0623e-05
59,3.54548e-07
60,3.05623e-05
61,3.0346e-05
62,4.54124e-07
63,3.0426e-05
64,4.64578e-07
65,3.07578e-05
66,3.06768e-05
67,3.04969e-05
68,3.06129e-05
69,3.08342e-05
70,3.03755e-05
71,3.05442e-05
72,3.96849e-07
73,4.09789e-07
74,3.08283e-05
75,3.88132e-07
76,3.90647e-07
77,3.03835e-05
78,3.07668e-05
79,3.77546e-07
80,3.07878e-05
81,3.05886e-05
82,3.06677e-05
83,3.59995e-07
84,3.04384e-05
85,3.4748e-07
86,3.47862e-07
87,3.074e-05
88,3.45037e-07
89,3.0629e-05
90,3.28268e-07
91,3.31775e-07
92,3.05471e-05
93,3.08709e-05
94,3.17123e-07
95,3.10073e-05
96,3.06568e-05
97,3.07981e-05
98,3.05545e-07
99,3.07639e-05
100,2.96229e-07
101,2.94353e-07
102,3.04435e-05
103,2.8997e-07
104,3.04471e-05
105,2.86489e-07
106,2.84355e-07
107,3.0586e-05
108,3.07214e-05
109,2.75569e-07
110,3.11362e-05
111,3.08628e-05
112,3.10177e-05
113,3.06057e-05
114,3.14318e-05
115,3.10326e-05
116,3.10375e-05
117,3.09044e-05
118,3.10675e-05
119,3.13452e-05
120,3.06383e-05
121,3.04844e-05
122,2.47608e-07
123,2.47549e-07
124,3.11502e-05
125,2.43545e-07
126,2.41856e-07
127,3.08098e-05
128,3.09725e-05
129,2.35349e-07
130,3.14667e-05
131,3.08307e-05
132,3.13478e-05
133,2.26097e-07
134,3.10765e-05
135,2.31188e-07
136,3.16779e-05
137,3.12253e-05
138,2.22871e-07
139,3.17111e-05
140,3.14027e-05
141,2.23183e-07
142,3.13998e-05
143,3.08996e-05
144,2.1405e-07
145,3.1952e-05
146,3.10987e-05
147,2.17182e-07
148,3.23497e-05
149,2.10776e-07
150,2.07139e-07
151,3.22115e-05
152,2.0157e-07
153,2.09335e-07
154,3.2438e-05
155,2.03163e-07
156,2.03216e-07
157,3.19152e-05
158,1.50733e-07
159,1.99615e-07
160,1.97147e-07
161,2.01446e-07
162,3.19705e-05
163,3.21738e-05
164,1.96906e-07
165,1.90484e-07
166,3.14016e-05
167,3.17182e-05
168,3.10133e-05
169,3.10188e-05
170,1.88465e-07
171,1.84282e-07
172,3.16592e-05
173,1.35366e-07
174,1.76604e-07
175,3.10556e-05
176,3.30511e-05
177,3.06249e-05
178,3.10465e-05
179,3.08365e-05
180,3.04147e-05
181,3.19371e-05
182,3.1083e-05
183,3.15183e-05
184,1.63326e-07
185,1.67485e-07
186,3.20218e-05
187,1.65223e-07
188,1.60132e-07
189,7.91511e-08
190,3.06564e-05
191,3.11148e-05
192,3.1362e-05
193,3.11328e-05
194,3.16074e-05
195,3.20966e-05
196,3.23303e-05
197,3.09112e-05
198,3.09085e-05
199,1.57678e-07
200,1.6147e-07
201,3.26541e-05
202,1.54958e-07
203,1.55689e-07
204,3.11856e-05
205,1.5795e-07
206,3.23818e-05
207,1.56712e-07
208,3.37732e-05
209,1.5902e-07
210,1.54666e-07
211,3.3567e-05
212,1.54661e-07
213,1.55136e-07
214,3.38839e-05
215,1.52722e-07
216,1.53269e-07
217,3.36607e-05
218,3.34149e-05
219,3.31568e-05
220,3.39771e-05
221,3.34616e-05
222,3.29831e-05
223,3.34938e-05
224,3.32151e-05
225,3.26795e-05
226,3.3813e-05
227,3.32585e-05
228,3.24803e-05
229,3.44065e-05
230,1.42323e-07
231,3.248e-05
232,3.38797e-05
233,3.24985e-05
234,1.3601e-07
235,3.16207e-05
236,3.16328e-05
237,3.13863e-05
238,3.22404e-05
239,3.25547e-05
240,3.1951e-05
241,3.22854e-05
242,3.15166e-05
243,3.22707e-05
244,9.64029e-08
245,3.2275e-05
246,3.1983e-05
247,3.1089e-05
248,1.25645e-07
249,3.17091e-05
250,1.27268e-07
251,1.27748e-07
252,3.20374e-05
253,3.11227e-05
254,1.25248e-07
255,3.26856e-05
256,3.11262e-05
257,3.2144e-05
258,1.22231e-07
259,3.13589e-05
260,1.22756e-07
261,1.17211e-07
262,3.18126e-05
