index,value
0,0.0315307
1,0.0573718
2,0.0562251
3,0.0341723
4,0.0171597
5,0.0192298
6,0.0168824
7,0.0425189
8,0.0200207
9,0.0142118
10,0.00978606
11,0.0414421
12,-0.000958047
13,0.03347
14,0.0588284
15,0.0295897
16,0.0633345
17,0.0293599
18,0.0312775
19,0.0552142
20,0.0157283
21,0.0474401
22,0.0342528
23,0.0306573
24,0.036712
25,0.073823
26,0.0411418
27,0.0451488
28,0.0547089
29,0.0234144
30,0.0325075
31,0.0486831
32,0.0290915
33,0.0524736
34,0.0627486
35,0.0573183
36,0.0397753
37,0.0427926
38,0.0180608
39,0.0594991
40,0.0260212
41,0.0336385
42,0.0171184
43,0.0436514
44,0.0113631
45,0.043193
46,0.0330209
47,0.0283793
48,0.0432898
49,0.0191428
50,0.00373922
51,0.0344924
52,0.0287047
53,0.0432959
54,0.0245194
55,0.0275578
56,0.0200269
57,0.0497615
58,0.0163514
59,0.0279314
60,0.0210875
61,0.0229133
62,0.0125491
63,0.0320481
64,0.0606021
65,0.0603819
66,0.013173
67,0.0170442
68,0.0295248
69,0.0286427
70,0.0440724
71,0.050676
72,0.0101026
73,0.0230193
74,0.0304583
75,0.0327877
76,0.0252344
77,0.0470026
78,0.019095
79,0.036256
80,0.016257
81,0.0516841
82,0.0122506
83,0.0317094
84,0.0537479
85,0.0265929
86,0.00897075
87,0.0474818
88,0.0554651
89,0.0748245
90,0.0393862
91,0.0506876
92,0.0465942
93,0.0519606
94,0.0354549
95,0.0198195
96,0.0294756
97,0.0407263
98,0.033248
99,0.0633064
100,0.0281947
101,0.0276495
102,0.025647
103,0.0321575
104,0.0316875
105,0.0711792
106,0.0442897
107,0.0209073
108,0.0527239
109,0.0212595
110,0.0311816
111,0.0190374
112,0.0192352
113,0.0191847
114,0.0455774
115,0.0370902
116,0.0337848
117,0.0245482
118,0.0315129
119,0.0213614
120,0.018378
121,0.0268835
122,0.0338461
123,0.043041
124,0.0560279
125,0.0768744
126,0.0489924
127,0.0546335
128,0.0478002
129,0.0670844
130,0.0230114
131,0.0583783
132,0.0375256
133,0.0593337
134,0.0273648
135,0.0301511
136,0.0439354
137,0.0483282
138,0.0499962
139,0.020947
140,0.0202928
141,0.0305574
142,0.0284108
143,0.0191323
144,0.0225841
145,0.0604683
146,0.0283037
147,0.0366759
148,0.0434885
149,0.0245093
150,0.0184495
151,0.0057991
152,0.0256057
153,0.0120308
154,0.0183814
155,0.0223788
156,0.0271489
157,0.0122236
158,0.0491019
159,0.0380153
160,0.0640528
161,0.0106975
162,0.0276112
163,0.0123853
164,0.035792
165,0.0125574
166,0.0155821
167,0.0405778
168,0.0207393
169,0.0280888
170,0.0325457
171,0.0235781
172,0.0206903
173,0.0473581
174,0.0315552
175,0.071114
176,0.0591746
177,0.0189602
178,0.0306675
179,0.0349991
180,0.0254944
181,0.023716
182,0.0320967
183,0.0313341
184,0.023654
185,0.0258366
186,0.0609595
187,0.0468651
188,0.0720403
189,0.0529223
190,0.0394529
191,0.0466734
192,0.0489169
193,0.0217208
194,0.0346899
195,0.0200664
196,0.0425076
197,0.0323706
198,0.0623576
199,0.0459355
200,0.0168105
201,0.0288902
202,0.0259984
203,0.0217664
204,0.0353243
205,0.0731726
206,0.044633
207,0.0339146
208,0.0684113
209,0.0318177
210,0.0356803
211,0.0221153
212,0.0203863
213,0.0134777
214,0.0241395
215,0.0226041
216,0.0301943
217,0.0135519
218,0.0182657
219,-0.00100437
220,0.00949199
221,0.0597904
222,0.0627604
223,0.0332399
224,0.0322356
225,0.0512509
226,0.0526252
227,0.0337065
228,0.0468562
229,0.0288433
230,0.0550554
231,0.0139663
232,0.0346206
233,0.0584708
234,0.0368899
235,0.0223374
236,0.0315706
237,0.0625852
238,0.0301852
239,0.0691395
240,0.0405862
241,0.0451057
242,0.0742623
243,0.0389031
244,0.0461684
245,0.0240748
246,0.020422
247,0.0414769
248,0.0503728
249,0.0420505
250,0.0416648
251,0.0391636
252,0.0424942
253,0.0392353
254,0.0164929
255,0.0273841
256,0.0463542
257,0.0366753
258,0.0237071
259,0.0227153
260,0.0360567
261,0.0215235
262,0.0392477
263,0.0671598
264,0.0302941
265,0.0313214
266,0.0397295
267,0.0222851
268,0.0712515
269,0.0189609
270,0.0319244
271,0.0272382
272,0.0541367
273,0.0666369
274,0.0290876
275,0.0290036
276,0.0135961
277,0.0258529
278,0.0116018
279,0.0336239
280,0.0573459
281,0.0505374
282,0.0110747
283,0.0187229
284,0.0325759
285,0.0112444
286,0.0318438
287,0.066869
288,0.0166415
289,0.0560269
290,0.0179851
291,0.021875
292,0.0322785
293,0.0467154
294,0.0320967
295,0.0539816
296,0.0434328
297,0.0172248
298,0.033848
299,0.0227532
300,0.0318349
301,0.052739
302,0.0500529
303,0.027658
304,0.0285456
305,0.0215934
306,0.0211108
307,0.0454698
308,0.0449304
309,0.0677292
310,0.0668718
311,0.0587003
312,0.0264811
313,0.0522761
314,0.0143825
315,0.0281129
316,0.0411505
317,0.034513
318,0.0307897
319,0.0490075
320,0.0527996
321,0.06113
322,0.0402849
323,0.047441
324,0.0239243
325,0.0469927
326,0.0388564
327,0.0430179
328,0.0169045
329,0.0665762
330,0.0321471
331,0.0525408
332,0.0231752
333,0.0182443
334,0.0291052
335,0.0203488
336,0.0095662
337,0.0216488
338,0.0275253
339,0.0314212
340,0.0481425
341,0.0355789
342,0.046024
343,0.0278874
344,0.0149187
345,0.0277266
346,0.0396462
347,0.0295902
348,0.0164017
349,0.0347266
350,0.0257561
351,0.0475195
352,0.0281489
353,0.0180989
354,0.0593548
355,0.0300579
356,0.0333333
357,0.0243209
358,0.0199129
359,0.0534171
360,0.0300364
361,0.0266763
362,0.0286274
363,0.0201845
364,0.0178833
365,0.0238625
366,0.0413806
367,0.054759
368,0.0421042
369,0.0600286
370,0.0462467
371,0.0714442
372,0.00658963
373,0.0266428
374,0.0394527
375,0.0262918
376,0.0437964
377,0.0279599
378,0.0641917
379,0.0230107
380,0.0344559
381,0.0110962
382,0.0205997
383,0.0324032
384,0.0364477
385,0.0139709
386,0.0194297
387,0.0247154
388,0.0419742
389,0.0621499
390,0.049209
391,0.026063
392,0.0187844
393,0.0333395
394,0.0242967
395,0.065527
396,0.0332214
397,0.0255942
398,0.0466096
399,0.0386136
400,0.0239147
401,0.0475536
402,0.0286323
403,0.0568808
404,0.0385851
405,0.0406863
406,0.0377257
407,0.0307363
408,0.0717318
409,0.0396811
410,0.0275151
411,0.0477525
412,0.0320379
413,0.0267292
414,0.0674127
415,0.0733928
416,0.0521706
417,0.0236273
418,0.0455592
419,0.0621488
420,0.0679519
421,0.029391
422,0.0420405
423,0.0496183
424,0.0421926
425,0.0657862
426,0.0636453
427,0.0406334
428,0.038233
429,0.0749925
430,0.0288697
431,0.0445426
432,0.0640751
433,0.038918
434,0.0794371
435,0.0254346
436,0.085293
437,0.0659817
438,0.0853797
439,0.0535446
440,0.0473089
441,0.035553
442,0.0282113
443,0.0348097
444,0.0312335
445,0.0271185
446,0.0387727
447,0.0559834
448,0.0761613
449,0.0254582
450,0.0525938
451,0.0654883
452,0.0771692
453,0.0263638
454,0.0298852
455,0.0281105
456,0.0219782
457,0.0214724
458,0.0594124
459,0.0520696
460,0.0343026
461,0.0439609
462,0.048646
463,0.0116808
464,0.0481453
465,0.0321035
466,0.0255401
467,0.00758169
468,0.0446767
469,0.0256368
470,0.042419
471,0.0583704
472,0.0475329
473,0.0471829
474,0.0291316
475,0.0118101
476,0.0263272
477,0.0387335
478,0.065088
479,0.0330228
480,0.0561875
481,0.0304913
482,0.0328106
483,0.0328308
484,0.0467228
485,0.0779648
486,0.0305497
487,0.0240912
488,0.0213278
489,0.0535265
490,0.0735359
491,0.0254725
492,0.0546577
493,0.0309827
494,0.0587717
495,0.0314765
496,0.0359633
497,0.0128983
498,0.0389849
499,0.0439348
500,0.026784
501,0.0926714
502,0.0751758
503,0.0488058
504,0.0682278
505,0.0393892
506,0.0688015
507,0.0692887
508,0.0347477
509,0.0692895
510,0.0345751
511,0.067395
512,0.0763527
513,0.0769677
514,0.0595181
515,0.0344063
516,0.0271501
517,0.0247228
518,0.0203121
519,0.0320514
520,0.00743702
521,0.0581531
522,0.0173826
523,0.00388721
524,0.0325992
525,0.0414776
526,0.0496652
527,0.0572994
528,0.0507167
529,0.0354118
530,0.0202533
531,0.047176
532,0.0129836
533,0.0246951
534,0.0134074
535,0.0275679
536,0.0572301
537,0.0300635
538,0.0734898
539,0.0412604
540,0.0447525
541,0.0192154
542,0.059146
543,0.0501311
544,0.086538
545,0.0755325
546,0.0374106
547,0.050951
548,0.0182196
549,0.0577121
550,0.0628646
551,0.042976
552,0.0507654
553,0.0423282
554,0.0526976
555,0.036221
556,0.0579108
557,0.0672838
558,0.058421
559,0.0732791
560,0.0241364
561,0.0588864
562,0.0321611
563,0.0693168
564,0.0403685
565,0.0181193
566,0.0422022
567,0.0495088
568,0.0425107
569,0.0485169
570,0.051263
571,0.0679048
572,0.0266377
573,0.0461177
574,0.0552425
575,0.0104589
576,0.0247599
577,0.0264648
578,0.0615111
579,0.0506935
580,0.0408199
581,0.0384783
582,0.033034
583,0.0167802
584,0.0228432
585,0.0551094
586,0.03192
587,0.019379
588,0.0837346
589,0.0331272
590,0.0281
591,0.029902
592,0.0409761
593,0.0189679
594,0.00856348
595,0.0495846
596,0.054324
597,0.0218246
598,0.0413438
599,0.0724766
600,0.0653239
601,0.0861465
602,0.0828785
603,0.0304669
604,0.0349716
605,0.0728003
606,0.071798
607,0.0418324
608,0.0407336
609,0.0457953
610,0.0132359
611,0.0762704
612,0.0619273
613,0.0443656
614,0.042283
615,0.0169488
616,0.0555999
617,0.0303137
618,0.0768132
619,0.0571858
620,0.0395401
621,0.0708722
622,0.0533339
623,0.067347
624,0.0344216
625,0.0593749
626,0.0196977
627,0.0490467
628,0.0592338
629,0.0681556
630,0.0238435
631,0.0306266
632,0.0266861
633,0.055314
634,0.0569132
635,0.0245204
636,0.027479
637,0.064527
638,0.0495252
639,0.0680415
640,0.0260805
641,0.0523548
642,0.0250515
643,0.0517167
644,0.0437674
645,0.0578259
646,0.0597325
647,0.0270114
648,0.0368928
649,0.0616023
650,0.0609712
651,0.0553452
652,0.0723508
653,0.0434516
654,0.0509396
655,0.0424538
656,0.0376824
657,0.0315221
658,0.0208459
659,0.0571118
660,0.0854016
661,0.0654231
662,0.0349866
663,0.0706005
664,0.0729963
665,0.0597787
666,0.0488489
667,0.0475998
668,0.0336377
669,0.0694819
670,0.0631751
671,0.0316914
672,0.042656
673,0.0637712
674,0.0520905
675,0.0643648
676,0.0707708
677,0.0574043
678,0.0606521
679,0.0336165
680,0.0049337
681,0.0682128
682,0.0480159
683,0.00207507
684,0.0422058
685,0.0544357
686,0.0461143
687,0.0633634
688,0.0407735
689,0.0533431
690,0.0196429
691,0.0261534
692,0.0449157
693,0.0830093
694,0.0790466
695,0.0735927
696,0.0669473
697,0.0447032
698,0.0491707
699,0.0554555
700,0.0621192
701,0.0455228
702,0.0473582
703,0.0424682
704,0.0572264
705,0.0475667
706,0.0789925
707,0.0694628
708,0.0572316
709,0.0441976
710,0.0442755
711,0.0539928
712,0.0206862
713,0.0163142
714,0.069712
715,0.0315299
716,0.0318285
717,0.0338982
718,0.0225771
719,0.0211091
720,0.0536101
721,0.0506958
722,0.0439212
723,0.0441759
724,0.0352341
725,0.0351693
726,0.0635375
727,0.0629687
728,0.0252968
729,0.0587209
730,0.0249081
731,0.0644314
732,0.0549419
733,0.0631132
734,0.0678868
735,0.0669519
736,0.0612816
737,0.0174757
738,0.00821922
739,0.0177214
740,0.0191228
741,0.0410729
742,0.0630914
743,0.0387969
744,0.0695366
745,0.0474081
746,0.0217402
747,0.0103801
748,0.0210673
749,0.0191152
750,0.046505
751,0.0339771
752,0.0505057
753,0.0456109
754,0.0251332
755,0.0551979
756,0.00717064
757,0.0350615
758,0.0370837
759,0.0645499
760,0.0379933
761,0.02312
762,0.0303726
763,0.0251609
764,0.0561065
765,0.0406739
766,0.0258405
767,0.0348122
768,0.0697679
769,0.0483371
770,0.0388976
771,0.0339992
772,0.0655359
773,0.0266555
774,0.0151497
775,0.0368372
776,0.024781
777,0.0448319
778,0.0509895
779,0.0709828
780,0.0748164
781,0.0387823
782,0.0282944
783,0.0171193
784,0.0371077
785,0.0358152
786,0.053996
787,0.0183203
788,0.0484971
789,0.0518268
790,0.0310579
791,0.0534827
792,0.0578458
793,0.0496157
794,0.0271924
795,0.0365762
796,0.0288515
797,0.0697429
798,0.0725389
799,0.0393921
800,0.0258717
801,0.0233991
802,0.0873739
803,0.0707733
804,0.0263308
805,0.0345473
806,0.0257205
807,0.0372224
808,0.0559734
809,0.0375589
810,0.0501415
811,0.0221211
812,0.0443994
813,0.0421772
814,0.0749334
815,0.0420612
816,0.0607477
817,0.0249962
818,0.0169495
819,0.0430617
820,0.0152157
821,0.0704676
822,0.0198348
823,0.0526179
824,0.0686082
825,0.0288385
826,0.0307344
827,0.05844
828,0.0669896
829,0.0569392
830,0.0231308
831,0.0516992
832,0.062198
833,0.0418391
834,0.062776
835,0.0626482
836,0.0636859
837,0.0254846
838,0.0383607
839,0.059558
840,0.0576174
841,0.030198
842,0.0760152
843,0.0271395
844,0.065891
845,0.0836592
846,0.0525985
847,0.0813
848,0.0786413
849,0.0836571
850,0.0661688
851,0.0530514
852,0.0382602
853,0.0233955
854,0.0158158
855,0.0592206
856,0.04573
857,0.0365246
858,0.0376123
859,0.0305114
860,0.0399353
861,0.0394732
862,0.0396928
863,0.0426407
864,0.0351739
865,0.0675279
866,0.0449453
867,0.0681615
868,0.0833771
869,0.0522534
870,0.0363959
871,0.0204612
872,0.0600201
873,0.0207967
874,0.0647757
875,0.0578952
876,0.0312581
877,0.0608689
878,0.06702
879,0.0331305
880,0.0167565
881,0.032272
882,0.0468265
883,0.0752506
884,0.0636823
885,0.059006
886,0.0725147
887,0.0717476
888,0.00932821
889,0.0470613
890,0.050494
891,0.0609861
892,0.0727033
893,0.0870619
894,0.0657296
895,0.0424353
896,0.0421893
897,0.0620701
898,0.0715538
899,0.0185999
900,0.0428846
901,0.0285742
902,0.0181775
903,0.0488075
904,0.0341947
905,0.0664813
906,0.0296825
907,0.0365389
908,0.0270366
909,0.0242527
910,0.0342838
911,0.0241969
912,0.0345579
913,0.0168435
914,0.0820953
915,0.035632
916,0.0540528
917,0.0629044
918,0.0320813
919,0.0436426
920,0.0413406
921,0.0778475
922,0.0321845
923,0.061783
924,0.0773895
925,0.0760839
926,0.0767471
927,0.052681
928,0.0496161
929,0.0410588
930,0.0649115
931,0.0552098
932,0.0596375
933,0.061253
934,0.0396093
935,0.0652156
936,0.0261926
937,0.0268867
938,0.0266806
939,0.0320576
940,0.0155255
941,0.0444497
942,0.0324077
943,0.0324482
944,0.0304803
945,0.0568214
946,0.0391285
947,0.0506404
948,0.0336429
949,0.0638083
950,0.0733324
951,0.0419085
952,0.0632297
953,0.0813146
954,0.0374435
955,0.0197017
956,0.065916
957,0.092629
958,0.0692849
959,0.0367428
960,0.0487926
961,0.0714805
962,0.037177
963,0.0375285
964,0.0595936
965,0.0430388
966,0.0400048
967,0.0249074
968,0.0416033
969,0.0452277
970,0.0697519
971,0.0258701
972,0.0745558
973,0.063488
974,0.0506685
975,0.0289448
976,0.0789939
977,0.0765961
978,0.0620373
979,0.0718505
980,0.0539254
981,0.0452918
982,0.0619916
983,0.063036
984,0.0388757
985,0.0245611
986,0.0294398
987,0.0200369
988,0.0492205
989,0.0646109
990,0.0569436
991,0.0656295
992,0.0309374
993,0.0622697
994,0.0553997
995,0.0472227
996,0.043883
997,0.0232784
998,0.016155
999,0.0290084
1000,0.0318475
1001,0.0564652
1002,0.0338169
1003,0.0237571
1004,0.0179566
1005,0.0205517
1006,0.0438332
1007,0.0474668
1008,0.028452
1009,0.0732574
1010,0.0213162
1011,0.0693313
1012,0.0670259
1013,0.0181677
1014,0.0856247
1015,0.0446246
1016,0.0514385
1017,0.0441735
1018,0.0788333
1019,0.0544775
1020,0.0646046
1021,0.0603138
1022,0.076646
1023,0.0469835
1024,0.0564101
1025,0.0458686
1026,0.052818
1027,0.0506788
1028,0.0287624
1029,0.0485688
1030,0.0338074
1031,0.0546144
1032,0.0501478
1033,0.0608417
1034,0.0756586
1035,0.0671408
1036,0.0764613
1037,0.0367809
1038,0.0763768
1039,0.0138948
1040,0.0368102
1041,0.0628447
1042,0.0760986
1043,0.0522305
1044,0.0285642
1045,0.0575858
1046,0.0674833
1047,0.0576381
1048,0.0364707
1049,0.0342698
1050,0.0564327
1051,0.0528032
1052,0.0452708
1053,0.0649414
1054,0.0603598
1055,0.0655094
1056,0.0540818
1057,0.0523513
1058,0.0705697
1059,0.0692289
1060,0.0334774
1061,0.0581059
1062,0.0624343
1063,0.077016
1064,0.077452
1065,0.0107808
1066,0.0625308
1067,0.0553001
1068,0.0609922
1069,0.0695962
1070,0.0317264
1071,0.0589708
1072,0.0535128
1073,0.0578205
1074,0.0326656
1075,0.0436048
1076,0.0709236
1077,0.0762432
1078,0.0513252
1079,0.0633781
1080,0.0423308
1081,0.00720807
1082,0.0812069
1083,0.0673937
1084,0.0618648
1085,0.0348972
1086,0.0156383
1087,0.0533343
1088,0.0593295
1089,0.0670682
1090,0.0666888
1091,0.013573
1092,0.0341084
1093,0.0528872
1094,0.0401903
1095,0.0269873
1096,0.0270298
1097,0.0677189
1098,0.0326136
1099,0.0591705
1100,0.0657707
1101,0.0618815
1102,0.0419098
1103,0.0256543
1104,0.0236021
1105,0.0656203
1106,0.0752402
1107,0.0942097
1108,0.0914079
1109,0.0510164
1110,0.0668597
1111,0.044713
1112,0.0521131
1113,0.0470755
1114,0.0502736
1115,0.0180157
