index,value
0,7.7719e-06
1,1.03628e-05
2,3.10887e-05
3,6.21618e-06
4,3.10741e-05
5,3.45182e-06
6,3.88422e-06
7,2.58987e-06
8,3.10743e-05
9,3.10538e-05
10,3.1059e-05
11,3.10776e-05
12,3.10451e-05
13,3.1038e-05
14,3.10434e-05
15,3.10356e-05
16,3.10562e-05
17,1.14918e-06
18,1.54958e-06
19,3.10052e-05
20,1.29252e-06
21,1.34874e-06
22,1.14969e-06
23,3.10134e-05
24,3.0961e-05
25,3.10006e-05
26,3.10593e-05
27,9.69174e-07
28,1.03198e-06
29,3.09946e-05
30,9.10271e-07
31,9.39537e-07
32,7.38818e-07
33,3.09806e-05
34,3.09392e-05
35,3.10239e-05
36,3.09978e-05
37,3.09419e-05
38,3.08981e-05
39,4.07367e-07
40,3.10142e-05
41,3.10662e-05
42,6.6029e-07
43,3.09812e-05
44,6.74077e-07
45,3.09754e-05
46,3.10049e-05
47,3.10339e-05
48,6.18811e-07
49,3.09563e-05
50,5.73379e-07
51,5.84755e-07
52,3.10249e-05
53,5.64019e-07
54,3.10231e-05
55,5.2346e-07
56,5.34275e-07
57,3.09113e-05
58,3.08747e-05
59,3.5977e-07
60,3.09168e-05
61,3.10197e-05
62,4.6242e-07
63,3.098e-05
64,4.67677e-07
65,3.08249e-05
66,3.08519e-05
67,3.0946e-05
68,3.08997e-05
69,3.07661e-05
70,3.09993e-05
71,3.09188e-05
72,4.01428e-07
73,4.10915e-07
74,3.078e-05
75,3.90609e-07
76,3.96846e-07
77,3.09985e-05
78,3.08003e-05
79,3.81778e-07
80,3.08185e-05
81,3.08979e-05
82,3.08589e-05
83,3.63374e-07
84,3.09712e-05
85,3.45352e-07
86,3.50942e-07
87,3.08185e-05
88,3.40642e-07
89,3.08858e-05
90,3.27291e-07
91,3.30742e-07
92,3.09165e-05
93,3.0753e-05
94,3.22606e-07
95,3.07043e-05
96,3.08688e-05
97,3.07988e-05
98,3.09167e-07
99,3.08344e-05
100,2.96105e-07
101,3.01245e-07
102,3.09716e-05
103,2.94928e-07
104,3.09806e-05
105,2.80756e-07
106,2.85503e-07
107,3.09e-05
